id,merger_name,zip_code
522,"中国,辽宁省,锦州市",121000
523,"中国,辽宁省,锦州市,古塔区",121001
524,"中国,辽宁省,锦州市,凌河区",121000
525,"中国,辽宁省,锦州市,太和区",121011
526,"中国,辽宁省,锦州市,黑山县",121400
527,"中国,辽宁省,锦州市,义县",121100
528,"中国,辽宁省,锦州市,凌海市",121200
529,"中国,辽宁省,锦州市,北镇市",121300
530,"中国,辽宁省,营口市",115003
531,"中国,辽宁省,营口市,站前区",115002
532,"中国,辽宁省,营口市,西市区",115004
533,"中国,辽宁省,营口市,鲅鱼圈区",115007
534,"中国,辽宁省,营口市,老边区",115005
535,"中国,辽宁省,营口市,盖州市",115200
536,"中国,辽宁省,营口市,大石桥市",115100
537,"中国,辽宁省,阜新市",123000
538,"中国,辽宁省,阜新市,海州区",123000
539,"中国,辽宁省,阜新市,新邱区",123005
540,"中国,辽宁省,阜新市,太平区",123003
541,"中国,辽宁省,阜新市,清河门区",123006
542,"中国,辽宁省,阜新市,细河区",123000
543,"中国,辽宁省,阜新市,阜新蒙古族自治县",123100
544,"中国,辽宁省,阜新市,彰武县",123200
545,"中国,辽宁省,辽阳市",111000
546,"中国,辽宁省,辽阳市,白塔区",111000
547,"中国,辽宁省,辽阳市,文圣区",111000
548,"中国,辽宁省,辽阳市,宏伟区",111003
549,"中国,辽宁省,辽阳市,弓长岭区",111008
550,"中国,辽宁省,辽阳市,太子河区",111000
551,"中国,辽宁省,辽阳市,辽阳县",111200
552,"中国,辽宁省,辽阳市,灯塔市",111300
553,"中国,辽宁省,盘锦市",124010
554,"中国,辽宁省,盘锦市,双台子区",124000
555,"中国,辽宁省,盘锦市,兴隆台区",124010
556,"中国,辽宁省,盘锦市,大洼县",124200
557,"中国,辽宁省,盘锦市,盘山县",124000
558,"中国,辽宁省,铁岭市",112000
559,"中国,辽宁省,铁岭市,银州区",112000
560,"中国,辽宁省,铁岭市,清河区",112003
561,"中国,辽宁省,铁岭市,铁岭县",112000
562,"中国,辽宁省,铁岭市,西丰县",112400
563,"中国,辽宁省,铁岭市,昌图县",112500
